feature,val,precision,recall,fbeta
workclass,Private,0.738498789346247,0.6230847803881512,0.6759002770083102
workclass,Self-emp-not-inc,0.7142857142857143,0.5737704918032787,0.6363636363636364
workclass,Local-gov,0.7669902912621359,0.6475409836065574,0.7022222222222222
workclass,?,0.5652173913043478,0.3939393939393939,0.4642857142857143
workclass,Federal-gov,0.810126582278481,0.7901234567901234,0.8
workclass,State-gov,0.7285714285714285,0.68,0.7034482758620689
workclass,Self-emp-inc,0.784,0.784,0.784
workclass,Without-pay,1.0,1.0,1.0
education,HS-grad,0.6,0.421875,0.4954128440366973
education,Bachelors,0.7948113207547169,0.764172335600907,0.7791907514450868
education,Some-college,0.6504854368932039,0.5,0.5654008438818565
education,Masters,0.8072916666666666,0.8115183246073299,0.8093994778067886
education,11th,1.0,0.25,0.4
education,5th-6th,1.0,0.0,0.0
education,1st-4th,1.0,1.0,1.0
education,Assoc-voc,0.6557377049180327,0.5555555555555556,0.6015037593984962
education,Prof-school,0.8723404255319149,0.9879518072289156,0.9265536723163842
education,9th,1.0,0.0,0.0
education,10th,1.0,0.5454545454545454,0.7058823529411765
education,12th,0.75,0.375,0.5
education,Assoc-acdm,0.7804878048780488,0.6153846153846154,0.6881720430107527
education,7th-8th,1.0,0.42857142857142855,0.6
education,Doctorate,0.84375,0.9473684210526315,0.8925619834710744
education,Preschool,1.0,1.0,1.0
marital-status,Never-married,0.9090909090909091,0.40816326530612246,0.5633802816901409
marital-status,Divorced,0.8367346938775511,0.4659090909090909,0.5985401459854015
marital-status,Separated,1.0,0.3333333333333333,0.5
marital-status,Married-civ-spouse,0.7329498767460969,0.6772968868640851,0.7040252565114443
marital-status,Widowed,1.0,0.4666666666666667,0.6363636363636364
marital-status,Married-AF-spouse,1.0,0.0,0.0
marital-status,Married-spouse-absent,0.3333333333333333,0.2,0.25
occupation,Protective-serv,0.75,0.6382978723404256,0.6896551724137931
occupation,Sales,0.7209302325581395,0.6138613861386139,0.6631016042780749
occupation,Tech-support,0.6440677966101694,0.6785714285714286,0.6608695652173913
